plate_uid,proper_name,plate_name,screw_sizes,set_category,size_range,drawer_locations,stock_locations,total_drawer_units,total_stock_units,total_units,out_drawer_units,out_stock_units,out_units,available_drawer_units,available_stock_units,available_units,availability,range_status,out_case_details
ADT,Anterior Distal Tibia Plates,Anterior Distal Tibia Plates,"2.7mm, 3.5mm",2.7-4.0,STANDARD,D4,,1,0,1,0,0,0,1,0,1,1/1,READY,[]
APP,Anterior Patella Plates,Anterior Patella Plates,2.7mm,2.7-4.0,STANDARD,D4,,1,0,1,0,0,0,1,0,1,1/1,READY,[]
APP,Anterior Patella Plates,Anterior Patella Plates,2.7mm,2.7-4.0,SMALL,D4,,1,0,1,0,0,0,1,0,1,1/1,READY,[]
CCOMBO,VA 3.5mm Calcaneal Plates II (Combo),VA 3.5mm Calcaneal Plates II (Combo),3.5mm,2.7-4.0,STANDARD,D1,,1,0,1,0,0,0,1,0,1,1/1,READY,[]
CHOOK,VA 3.5mm Clavicle Hook Plates,VA 3.5mm Clavicle Hook Plates,3.5mm,2.7-4.0,STANDARD,"D2, D3",,2,0,2,0,0,0,2,0,2,2/2,READY,[]
CMESH,VA 3.5mm Calcaneal Plates (Mesh),VA 3.5mm Calcaneal Plates (Mesh),3.5mm,2.7-4.0,STANDARD,D1,,1,0,1,0,0,0,1,0,1,1/1,READY,[]
DFIBII,VA 2.7/3.5mm Distal Lateral Fibular Plates II,VA 2.7/3.5mm Distal Lateral Fibular Plates II,"2.7mm, 3.5mm",2.7-4.0,STANDARD,"D1, D2, D3",,3,0,3,2,0,2,1,0,1,1/3,PARTIAL,"[{""case_id"": ""C009"", ""hospital"": ""PPUM"", ""delivery_date"": ""02/05/2026"", ""surgery_date"": """", ""raw_plate_token"": ""DFIBII"", ""case_status"": """", ""requested_drawer"": null, ""from_stock"": false}, {""case_id"": ""C031"", ""hospital"": ""QUEENELIZABETHHOSPITAL,KOTAKINABALU"", ""delivery_date"": ""16/04/2026"", ""surgery_date"": """", ""raw_plate_token"": ""DFIBII"", ""case_status"": """", ""requested_drawer"": null, ""from_stock"": false}]"
DFIBII,VA 2.7/3.5mm Distal Lateral Fibular Plates II,VA 2.7/3.5mm Distal Lateral Fibular Plates II,"2.7mm, 3.5mm",2.7-4.0,LONG,"D1, D2, D3",,3,0,3,0,0,0,3,0,3,3/3,READY,[]
DFIBIII,VA 2.7/3.5mm Distal Lateral Fibular Plates III,VA 2.7/3.5mm Distal Lateral Fibular Plates III,"2.7mm, 3.5mm",2.7-4.0,STANDARD,"D1, D2, D3",,3,0,3,2,0,2,1,0,1,1/3,PARTIAL,"[{""case_id"": ""C009"", ""hospital"": ""PPUM"", ""delivery_date"": ""02/05/2026"", ""surgery_date"": """", ""raw_plate_token"": ""DFIBIII"", ""case_status"": """", ""requested_drawer"": null, ""from_stock"": false}, {""case_id"": ""C031"", ""hospital"": ""QUEENELIZABETHHOSPITAL,KOTAKINABALU"", ""delivery_date"": ""16/04/2026"", ""surgery_date"": """", ""raw_plate_token"": ""DFIBIII"", ""case_status"": """", ""requested_drawer"": null, ""from_stock"": false}]"
DFIBIII,VA 2.7/3.5mm Distal Lateral Fibular Plates III,VA 2.7/3.5mm Distal Lateral Fibular Plates III,"2.7mm, 3.5mm",2.7-4.0,LONG,"D1, D2, D3",,3,0,3,0,0,0,3,0,3,3/3,READY,[]
