plate_uid,proper_name,screw_sizes,size_range,drawer,drawer_sizes,drawer_size_detail,drawer_count,available_units,total_units,availability,range_status,out_case_details,drawer_out_case_details
ADT,Anterior Distal Tibia Plates,"2.7mm, 3.5mm",STANDARD,D4,"3H, 5H","[{""label"": ""3H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",2,1,1,1/1,READY,[],[]
APP,Anterior Patella Plates,2.7mm,STANDARD,D4,3H,"[{""label"": ""3H"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",1,1,1,1/1,READY,[],[]
APP,Anterior Patella Plates,2.7mm,SMALL,D4,3H,"[{""label"": ""3H"", ""size_range"": ""SMALL"", ""no_stock"": false}]",1,1,1,1/1,READY,[],[]
CCOMBO,VA 3.5mm Calcaneal Plates II (Combo),3.5mm,STANDARD,D1,"5H L, 8H L, 8H R, 5H R","[{""label"": ""5H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",4,1,1,1/1,READY,[],[]
CHOOK,VA 3.5mm Clavicle Hook Plates,3.5mm,STANDARD,D2,"5H, 15MM L, 5H 18MM L, 5H, 15MM R, 5H 18MM R","[{""label"": ""5H, 15MM L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H 18MM L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H, 15MM R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H 18MM R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",4,2,2,2/2,READY,[],[]
CHOOK,VA 3.5mm Clavicle Hook Plates,3.5mm,STANDARD,D3,"5H, 15MM L, 5H 18MM L, 6H 15MM L, 6H 18MM L, 7H 15MM L, 7H 18MM L, 7H 15MM R, 7H 18MM R, 6H 15MM R, 6H 18MM R, 5H, 15MM R, 5H 18MM R","[{""label"": ""5H, 15MM L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H 18MM L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H 15MM L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H 18MM L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H 15MM L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H 18MM L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H 15MM R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H 18MM R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H 15MM R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H 18MM R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H, 15MM R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H 18MM R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",12,2,2,2/2,READY,[],[]
CMESH,VA 3.5mm Calcaneal Plates (Mesh),3.5mm,STANDARD,D1,"51 L, 60 L, 68 L, 68 R, 60 R, 51 R","[{""label"": ""51 L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""60 L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""68 L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""68 R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""60 R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""51 R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",6,1,1,1/1,READY,[],[]
DFIBII,VA 2.7/3.5mm Distal Lateral Fibular Plates II,"2.7mm, 3.5mm",STANDARD,D1,"3H L, 5H L, 7H L, 7H R, 5H R, 3H R","[{""label"": ""3H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""3H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",6,1,3,1/3,PARTIAL,"[{""case_id"": ""C009"", ""hospital"": ""PPUM"", ""delivery_date"": ""02/05/2026"", ""surgery_date"": """", ""raw_plate_token"": ""DFIBII"", ""case_status"": """", ""requested_drawer"": null, ""from_stock"": false}, {""case_id"": ""C031"", ""hospital"": ""QUEENELIZABETHHOSPITAL,KOTAKINABALU"", ""delivery_date"": ""16/04/2026"", ""surgery_date"": """", ""raw_plate_token"": ""DFIBII"", ""case_status"": """", ""requested_drawer"": null, ""from_stock"": false}]","[{""case_id"": ""C009"", ""hospital"": ""PPUM"", ""delivery_date"": ""02/05/2026"", ""surgery_date"": """", ""raw_plate_token"": ""DFIBII"", ""case_status"": """", ""requested_drawer"": null, ""from_stock"": false}]"
DFIBII,VA 2.7/3.5mm Distal Lateral Fibular Plates II,"2.7mm, 3.5mm",STANDARD,D2,"3H L, 5H L, 7H L, 7H R, 5H R, 3H R","[{""label"": ""3H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""3H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",6,1,3,1/3,PARTIAL,"[{""case_id"": ""C009"", ""hospital"": ""PPUM"", ""delivery_date"": ""02/05/2026"", ""surgery_date"": """", ""raw_plate_token"": ""DFIBII"", ""case_status"": """", ""requested_drawer"": null, ""from_stock"": false}, {""case_id"": ""C031"", ""hospital"": ""QUEENELIZABETHHOSPITAL,KOTAKINABALU"", ""delivery_date"": ""16/04/2026"", ""surgery_date"": """", ""raw_plate_token"": ""DFIBII"", ""case_status"": """", ""requested_drawer"": null, ""from_stock"": false}]","[{""case_id"": ""C031"", ""hospital"": ""QUEENELIZABETHHOSPITAL,KOTAKINABALU"", ""delivery_date"": ""16/04/2026"", ""surgery_date"": """", ""raw_plate_token"": ""DFIBII"", ""case_status"": """", ""requested_drawer"": null, ""from_stock"": false}]"
DFIBII,VA 2.7/3.5mm Distal Lateral Fibular Plates II,"2.7mm, 3.5mm",STANDARD,D3,"3H L, 5H L, 7H L, 7H R, 5H R, 3H R","[{""label"": ""3H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""3H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",6,1,3,1/3,PARTIAL,"[{""case_id"": ""C009"", ""hospital"": ""PPUM"", ""delivery_date"": ""02/05/2026"", ""surgery_date"": """", ""raw_plate_token"": ""DFIBII"", ""case_status"": """", ""requested_drawer"": null, ""from_stock"": false}, {""case_id"": ""C031"", ""hospital"": ""QUEENELIZABETHHOSPITAL,KOTAKINABALU"", ""delivery_date"": ""16/04/2026"", ""surgery_date"": """", ""raw_plate_token"": ""DFIBII"", ""case_status"": """", ""requested_drawer"": null, ""from_stock"": false}]",[]
DFIBII,VA 2.7/3.5mm Distal Lateral Fibular Plates II,"2.7mm, 3.5mm",LONG,D1,"9H L, 9H R","[{""label"": ""9H L"", ""size_range"": ""LONG"", ""no_stock"": false}, {""label"": ""9H R"", ""size_range"": ""LONG"", ""no_stock"": false}]",2,3,3,3/3,READY,[],[]
DFIBII,VA 2.7/3.5mm Distal Lateral Fibular Plates II,"2.7mm, 3.5mm",LONG,D2,"9H L, 9H R","[{""label"": ""9H L"", ""size_range"": ""LONG"", ""no_stock"": true}, {""label"": ""9H R"", ""size_range"": ""LONG"", ""no_stock"": false}]",2,3,3,3/3,READY,[],[]
DFIBII,VA 2.7/3.5mm Distal Lateral Fibular Plates II,"2.7mm, 3.5mm",LONG,D3,"9H L, 9H R","[{""label"": ""9H L"", ""size_range"": ""LONG"", ""no_stock"": false}, {""label"": ""9H R"", ""size_range"": ""LONG"", ""no_stock"": false}]",2,3,3,3/3,READY,[],[]
